Warranty Category;First year warranty;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Global Product Hierarchy;Fabric Care;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Service Type;Service call;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Reference Market Global Options;Reference Markets Only;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Markets;Europe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Plants;Electrolux Plants;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Components;All;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Column Labels;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Qty Sold;;;;;;;;;;;;;;QTY Service Calls;;;;;;;;;;;;;;Total Qty Sold;Total QTY Service Calls;;;
;-1;Year 1;;;;;;;;;;;;;-1;Year 1;;;;;;;;;;;;;;;;;
Row Labels;;0;1;2;3;4;5;6;7;8;9;10;11;12;;0;1;2;3;4;5;6;7;8;9;10;11;12;;;;12658;#REF!
201811;398658;398658;398658;398658;398658;398658;398658;398658;398658;398658;398658;398658;398658;398658;92;1792;1535;960;807;673;657;668;704;795;757;913;955;587;398658;11895;;;
201812;256878;256878;256878;256878;256878;256878;256878;256878;256878;256878;256878;256878;256878;256878;77;1550;1689;913;721;602;559;561;585;623;679;701;801;445;256878;10506;;;
201901;283719;283719;283719;283719;283719;283719;283719;283719;283719;283719;283719;283719;283719;283719;112;1766;1881;1428;1018;799;769;626;643;669;758;823;832;543;283719;12667;;;
201902;234184;234184;234184;234184;234184;234184;234184;234184;234184;234184;234184;234184;234184;234184;126;1567;1638;1170;1069;791;707;654;581;625;651;662;783;380;234184;11404;;;
201903;225800;225800;225800;225800;225800;225800;225800;225800;225800;225800;225800;225800;225800;225800;121;1519;1421;1077;1020;1026;809;688;663;595;595;639;675;401;225800;11249;;;
201904;207541;207541;207541;207541;207541;207541;207541;207541;207541;207541;207541;207541;207541;207541;107;1447;1400;917;875;898;868;742;595;573;539;576;598;369;207541;10504;;;
201905;212700;212700;212700;212700;212700;212700;212700;212700;212700;212700;212700;212700;212700;212700;113;1402;1311;893;747;836;832;913;779;574;594;584;677;333;212700;10588;;;
201906;213132;213132;213132;213132;213132;213132;213132;213132;213132;213132;213132;213132;213132;213132;73;1199;1120;760;645;640;730;750;695;602;541;565;547;307;213132;9174;;;
201907;222487;222487;222487;222487;222487;222487;222487;222487;222487;222487;222487;222487;222487;222487;128;1268;1145;794;622;663;659;762;752;723;707;613;610;320;222487;9766;;;
201908;225951;225951;225951;225951;225951;225951;225951;225951;225951;225951;225951;225951;225951;225951;74;1355;1153;740;633;612;583;620;695;695;672;679;620;297;225951;9428;;;
201909;304796;304796;304796;304796;304796;304796;304796;304796;304796;304796;304796;304796;304796;304796;104;1311;1155;762;654;619;539;605;622;694;705;796;724;375;304796;9665;;;
201910;355771;355771;355771;355771;355771;355771;355771;355771;355771;355771;355771;355771;355771;355771;105;1663;1362;844;796;667;625;617;624;653;736;865;1034;483;355771;11074;;;
201911;366774;366774;366774;366774;366774;366774;366774;366774;366774;366774;366774;366774;366774;366774;89;1708;1506;834;686;655;585;548;573;581;643;769;904;514;366774;10595;;;
201912;271161;271161;271161;271161;271161;271161;271161;271161;271161;271161;271161;271161;271161;271161;75;1529;1561;914;674;603;519;545;532;545;566;656;749;476;271161;9944;;;
202001;265000;265000;265000;265000;265000;265000;265000;265000;265000;265000;265000;265000;265000;265000;67;1614;1687;1135;842;712;685;650;642;618;620;651;693;472;265000;11088;;;
202002;236671;236671;236671;236671;236671;236671;236671;236671;236671;236671;236671;236671;236671;236671;99;1709;1585;1076;938;740;652;621;574;545;564;561;620;354;236671;10638;;;
202003;212712;212712;212712;212712;212712;212712;212712;212712;212712;212712;212712;212712;212712;212712;93;1197;1163;873;711;697;616;577;548;524;457;501;501;315;212712;8773;;;
202004;127852;127852;127852;127852;127852;127852;127852;127852;127852;127852;127852;127852;127852;127852;57;898;868;681;573;516;458;448;378;380;333;347;333;196;127852;6466;;;
202005;182182;182182;182182;182182;182182;182182;182182;182182;182182;182182;182182;182182;182182;182182;65;973;853;673;646;585;623;581;493;457;428;434;462;268;182182;7541;;;
202006;236545;236545;236545;236545;236545;236545;236545;236545;236545;236545;236545;236545;236545;236545;50;988;903;555;636;665;648;675;579;541;475;518;480;256;236545;7969;;;
202007;283321;283321;283321;283321;283321;283321;283321;283321;283321;283321;283321;283321;283321;283321;93;1106;912;579;489;548;568;603;563;605;572;483;517;244;283321;7882;;;
202008;244318;244318;244318;244318;244318;244318;244318;244318;244318;244318;244318;244318;244318;244318;74;1178;1151;633;551;520;632;653;725;705;676;577;557;320;244318;8952;;;
202009;349311;349311;349311;349311;349311;349311;349311;349311;349311;349311;349311;349311;349311;349311;64;1230;1113;755;635;526;492;601;666;653;675;667;633;330;349311;9040;;;
202010;378405;378405;378405;378405;378405;378405;378405;378405;378405;378405;378405;378405;378405;378405;85;1478;1300;859;706;574;510;507;671;679;762;763;790;380;378405;10064;;;
202011;351428;351428;351428;351428;351428;351428;351428;351428;351428;351428;351428;351428;351428;351428;93;1507;1395;867;768;630;543;500;471;615;739;751;796;462;351428;10137;;;
202012;297854;297854;297854;297854;297854;297854;297854;297854;297854;297854;297854;297854;297854;297854;110;1634;1612;1013;706;692;668;528;454;492;617;726;771;475;297854;10498;;;
202101;258321;258321;258321;258321;258321;258321;258321;258321;258321;258321;258321;258321;258321;258321;83;1372;1566;991;853;629;658;545;545;463;499;645;725;351;258321;9925;;;
202102;279104;279104;279104;279104;279104;279104;279104;279104;279104;279104;279104;279104;279104;279104;113;1402;1488;1120;937;769;619;637;567;493;490;499;665;388;279104;10187;;;
202103;297267;297267;297267;297267;297267;297267;297267;297267;297267;297267;297267;297267;297267;297267;142;1496;1500;1074;989;917;806;643;631;641;585;502;562;366;297267;10854;;;
202104;252745;252745;252745;252745;252745;252745;252745;252745;252745;252745;252745;252745;252745;252745;140;1414;1294;904;829;862;802;662;599;530;578;566;504;315;252745;9999;;;
202105;229902;229902;229902;229902;229902;229902;229902;229902;229902;229902;229902;229902;229902;229902;133;1421;1182;843;709;686;736;730;585;541;528;470;510;274;229902;9348;;;
202106;228587;228587;228587;228587;228587;228587;228587;228587;228587;228587;228587;228587;228587;228587;119;1407;1240;840;758;627;618;736;757;664;580;546;580;297;228587;9769;;;
202107;235761;235761;235761;235761;235761;235761;235761;235761;235761;235761;235761;235761;235761;235761;160;1578;1470;938;746;696;697;696;861;850;729;659;664;386;235761;11130;;;
202108;268096;268096;268096;268096;268096;268096;268096;268096;268096;268096;268096;268096;268096;268096;137;1299;1158;662;585;539;508;476;601;581;651;560;555;287;268096;8599;;;
202109;351301;351301;351301;351301;351301;351301;351301;351301;351301;351301;351301;351301;351301;351301;156;1511;1253;818;686;609;573;539;571;632;688;725;654;295;351301;9710;;;
202110;354465;354465;354465;354465;354465;354465;354465;354465;354465;354465;354465;354465;354465;354465;116;1492;1374;812;710;611;578;561;600;555;636;704;756;388;354465;9893;;;
202111;379367;379367;379367;379367;379367;379367;379367;379367;379367;379367;379367;379367;379367;379367;203;1541;1420;920;699;634;573;590;562;514;507;648;697;467;379367;9975;;;
202112;296288;296288;296288;296288;296288;296288;296288;296288;296288;296288;296288;296288;296288;296288;176;1513;1483;943;728;625;543;550;570;521;550;468;675;375;296288;9720;;;
202201;238552;238552;238552;238552;238552;238552;238552;238552;238552;238552;238552;238552;238552;238552;172;1417;1443;1052;742;642;588;597;534;565;564;552;542;385;238552;9795;;;
