plant_key,period,period_as_date,market,reference_market,part_of_world,market_code,company_code,factory,warranty_category,service_type,pnc_sku,sell_out_date,failure_date,ttfi,qty_serv,product_line,product_group,product_subgroup,order_nr,warranty_key,product_unit_key
ZS,202112,2021-12-01,Denmark,Reference Markets Only,Europe,DKH,DKH,Electrolux Plants,First year warranty,Service call,922784053,2021-08-30,2021-12-01,4,1,Food Preservation,Built-in Food Preservation,Built-in Upright Freezer,385074954000,G,ZS-922784053-027-75
ZS,202112,2021-12-01,United Kingdom,Reference Markets Only,Europe,ENG,GB1,Electrolux Plants,First year warranty,Service call,925501066,2021-07-16,2021-10-26,3,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000005015361000,G,ZS-925501066-049-00017
HUC,202112,2021-12-01,United Kingdom,Reference Markets Only,Europe,ENG,GB1,Electrolux Plants,First year warranty,Service call,933014669,2021-05-29,2021-11-06,6,1,Food Preservation,Freestanding Under Counter,Freestanding Under Counter Freezer,000005069612000,G,HUC-933014669-125-00044
ZS,202112,2021-12-01,United Kingdom,Reference Markets Only,Europe,ENG,GB1,Electrolux Plants,First year warranty,Service call,925515024,2021-08-23,2021-11-23,3,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000005150034000,G,ZS-925515024-119-00168
ZS,202112,2021-12-01,Germany,Reference Markets Only,Europe,GER,DGQ,Electrolux Plants,First year warranty,Service call,925503182,2021-10-01,2021-12-02,2,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000101759332001,G,ZS-925503182-116-00038
HUC,202112,2021-12-01,Germany,Reference Markets Only,Europe,GER,DGQ,Electrolux Plants,First year warranty,Service call,933015190,2021-11-24,2021-12-06,1,1,Food Preservation,Built-in Food Preservation,Built-in Under Counter Refrigerator,000U63397031001,G,HUC-933015190-140-30005
ZS,202112,2021-12-01,Italy,Reference Markets Only,Europe,ITA,IT1,Electrolux Plants,First year warranty,Service call,925503205,2021-03-23,2021-12-06,9,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000005213620000,G,ZS-925503205-102-00211
ZS,202112,2021-12-01,Italy,Reference Markets Only,Europe,ITA,IT1,Electrolux Plants,First year warranty,Service call,925503070,2021-01-25,2021-11-12,10,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000005099667000,G,ZS-925503070-052-00151
ZS,202112,2021-12-01,Poland,Reference Markets Only,Europe,PLM,PLM,Electrolux Plants,First year warranty,Service call,925501101,2021-06-10,2021-11-16,5,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000007835921000,G,ZS-925501101-118-00019
HUC,202112,2021-12-01,Spain,Reference Markets Only,Europe,SPA,ES1,Electrolux Plants,First year warranty,Service call,920489282,2020-11-19,2021-11-29,12,1,Food Preservation,Chest Freezer,Large Chest Freezer,000005178966000,G,HUC-920489282-123-45678
ZS,202112,2021-12-01,Netherlands,Reference Markets Only,Europe,HOL,HOL,Electrolux Plants,First year warranty,Service call,925503178,2021-09-22,2021-12-02,3,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000388057796000,G,ZS-925503178-114-00044
HUC,202112,2021-12-01,Netherlands,Reference Markets Only,Europe,HOL,HOL,Electrolux Plants,First year warranty,Service call,933033049,2021-01-26,2021-12-14,11,1,Food Preservation,Built-in Food Preservation,Built-in Upright Refrigerator,000388063368000,G,HUC-933033049-101-50138
ZS,202112,2021-12-01,Netherlands,Reference Markets Only,Europe,HOL,HOL,Electrolux Plants,First year warranty,Service call,923581073,2021-09-10,2021-11-14,2,1,Food Preservation,Built-in Food Preservation,Built-in Upright Refrigerator,000388049187000,G,ZS-923581073-140-00049
ZS,202112,2021-12-01,Netherlands,Reference Markets Only,Europe,HOL,HOL,Electrolux Plants,First year warranty,Service call,925501058,2020-12-10,2021-11-25,11,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000388054888000,G,ZS-925501058-046-01545
HUY,202112,2021-12-01,Sweden,Reference Markets Only,Europe,SWE,SR ,Electrolux Plants,First year warranty,Service call,925053297,2020-12-09,2021-12-02,12,1,Food Preservation,Freestanding Bottom Freezer,Small Bottom Freezer,389868346000,G,HUY-925053297-045-30209
HUY,202112,2021-12-01,Belgium,Reference Markets Only,Europe,BEN,BE1,Electrolux Plants,First year warranty,Service call,925041478,2021-07-01,2021-12-02,5,1,Food Preservation,Freestanding Freezer,Freestanding Upright Freezer,000005202679000,G,HUY-925041478-049-30012
ZS,202112,2021-12-01,Denmark,Reference Markets Only,Europe,DKH,DKH,Electrolux Plants,First year warranty,Service call,923584053,2021-09-06,2021-12-20,3,1,Food Preservation,Built-in Food Preservation,Built-in Upright Refrigerator,385078080000,G,ZS-923584053-124-109
THF,202112,2021-12-01,Denmark,Reference Markets Only,Europe,DKH,DKH,Electrolux Plants,First year warranty,Service call,925060624,2021-04-20,2021-11-24,7,1,Food Preservation,Freestanding Multidoor,Freestanding Multidoor 4 Door CD,385073857000,G,THF-925060624-108-73185
ZS,202112,2021-12-01,United Kingdom,Reference Markets Only,Europe,ENG,GB1,Electrolux Plants,First year warranty,Service call,925515023,2021-08-16,2021-12-14,4,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000005257021000,G,ZS-925515023-116-00028
ZS,202112,2021-12-01,United Kingdom,Reference Markets Only,Europe,ENG,GB1,Electrolux Plants,First year warranty,Service call,925503174,2021-11-19,2021-11-29,0,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000005182806000,G,ZS-925503174-104-00061
HUC,202112,2021-12-01,Germany,Reference Markets Only,Europe,GER,DGQ,Electrolux Plants,First year warranty,Service call,933016172,2021-03-29,2021-12-06,9,1,Food Preservation,Built-in Food Preservation,Built-in Under Counter Refrigerator,000E33397212001,G,HUC-933016172-106-40036
ZS,202112,2021-12-01,Italy,Reference Markets Only,Europe,ITA,IT1,Electrolux Plants,First year warranty,Service call,925505071,2021-06-30,2021-12-31,6,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000005335707000,G,ZS-925505071-123-00157
ZS,202112,2021-12-01,Switzerland,Reference Markets Only,Europe,SCH,SCH,Electrolux Plants,First year warranty,Service call,925511042,2021-09-15,2021-11-23,2,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000386209841000,G,ZS-925511042-135-00054
HUC,202112,2021-12-01,Switzerland,Reference Markets Only,Europe,SCH,SCH,Electrolux Plants,First year warranty,Service call,933014882,2021-05-01,2021-12-28,7,1,Food Preservation,Freestanding Under Counter,Freestanding Under Counter Freezer,000386231870000,G,HUC-933014882-103-40041
HUC,202112,2021-12-01,Switzerland,Reference Markets Only,Europe,SCH,SCH,Electrolux Plants,First year warranty,Service call,933033333,2021-10-15,2021-12-10,2,1,Food Preservation,Built-in Food Preservation,Built-in Upright Refrigerator,000386221085000,G,HUC-933033333-048-30065
HUY,202112,2021-12-01,Sweden,Reference Markets Only,Europe,SWE,SR ,Electrolux Plants,First year warranty,Service call,925070024,2021-08-03,2021-12-15,4,1,Food Preservation,Freestanding Freezer,Freestanding Upright Freezer,389869770000,G,HUY-925070024-126-30009
HUY,202112,2021-12-01,Sweden,Reference Markets Only,Europe,SWE,SR ,Electrolux Plants,First year warranty,Service call,925052179,2021-11-16,2021-12-10,1,1,Food Preservation,Freestanding Refrigerator,Freestanding Upright Refrigerator,389867532000,G,HUY-925052179-SAK-11111
HUY,202112,2021-12-01,Sweden,Reference Markets Only,Europe,SWE,SR ,Electrolux Plants,First year warranty,Service call,925053670,2021-11-28,2021-12-10,1,1,Food Preservation,Freestanding Bottom Freezer,Small Bottom Freezer,389870181000,G,HUY-925053670-137-20009
ZS,202112,2021-12-01,Sweden,Reference Markets Only,Europe,SWE,SR ,Electrolux Plants,First year warranty,Service call,925501095,2021-09-29,2021-11-25,2,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,380216027000,G,ZS-925501095-134-600
ZS,202112,2021-12-01,Switzerland,Reference Markets Only,Europe,SCH,SCH,Electrolux Plants,First year warranty,Service call,925501059,2021-02-01,2021-12-06,10,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000386218330000,G,ZS-925501059-048-00021
ZS,202112,2021-12-01,Italy,Reference Markets Only,Europe,ITA,IT1,Electrolux Plants,First year warranty,Service call,925501111,2021-08-18,2021-11-25,3,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000005161096000,G,ZS-925501111-135-00649
HUY,202112,2021-12-01,Finland,Reference Markets Only,Europe,FIX,FI1,Electrolux Plants,First year warranty,Service call,925053657,2021-11-01,2021-11-16,0,1,Food Preservation,Freestanding Bottom Freezer,Small Bottom Freezer,000005114812000,G,HUY-925053657-106-30007
HUC,202112,2021-12-01,Belgium,Reference Markets Only,Europe,BEN,BE1,Electrolux Plants,First year warranty,Service call,933033050,2021-08-19,2021-12-23,4,1,Food Preservation,Built-in Food Preservation,Built-in Upright Refrigerator,000005305555000,G,HUC-933033050-124-30139
HUC,202112,2021-12-01,Czech Republic,Reference Markets Only,Europe,CSM,CSM,Electrolux Plants,First year warranty,Service call,933013349,2020-12-05,2021-11-24,11,1,Food Preservation,Freestanding Refrigerator,Freestanding Upright Refrigerator,000004155921000,G,HUC-933013349-843-30201
ZS,202112,2021-12-01,Denmark,Reference Markets Only,Europe,DKH,DKH,Electrolux Plants,First year warranty,Service call,925516102,2021-06-29,2021-12-17,6,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,385077822000,G,ZS-925516102-110-144
HUY,202112,2021-12-01,Norway,Reference Markets Only,Europe,EHN,NO1,Electrolux Plants,First year warranty,Service call,925052176,2021-10-22,2021-12-14,2,1,Food Preservation,Freestanding Refrigerator,Freestanding Upright Refrigerator,000005259581000,G,HUY-925052176-130-40203
ZS,202112,2021-12-01,United Kingdom,Reference Markets Only,Europe,ENG,GB1,Electrolux Plants,First year warranty,Service call,925515024,2021-06-15,2021-12-14,6,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000005261519000,G,ZS-925515024-117-00877
ZS,202112,2021-12-01,United Kingdom,Reference Markets Only,Europe,ENG,GB1,Electrolux Plants,First year warranty,Service call,925516105,2021-11-09,2021-12-13,1,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000005251659000,G,ZS-925516105-136-00040
ZS,202112,2021-12-01,United Kingdom,Reference Markets Only,Europe,ENG,GB1,Electrolux Plants,First year warranty,Service call,925504034,2021-05-25,2021-12-17,7,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000005279815000,G,ZS-925504034-115-00163
ZS,202112,2021-12-01,United Kingdom,Reference Markets Only,Europe,ENG,GB1,Electrolux Plants,First year warranty,Service call,925515024,2021-12-10,2021-12-13,0,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000005252868000,G,ZS-925515024-142-00266
ZS,202112,2021-12-01,Germany,Reference Markets Only,Europe,GER,DGQ,Electrolux Plants,First year warranty,Service call,925542789,2021-07-26,2021-12-07,5,1,Food Preservation,Built-in Food Preservation,Built-in Top Freezer,000BB3397977001,G,ZS-925542789-117-00024
HUC,202112,2021-12-01,Germany,Reference Markets Only,Europe,GER,DGQ,Electrolux Plants,First year warranty,Service call,933033339,2021-09-27,2021-11-25,2,1,Food Preservation,Built-in Food Preservation,Built-in Upright Refrigerator,000101759138001,G,HUC-933033339-130-40010
ZS,202112,2021-12-01,Germany,Reference Markets Only,Europe,GER,DGQ,Electrolux Plants,First year warranty,Service call,925505060,2021-07-30,2021-10-29,3,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000101758443001,G,ZS-925505060-121-00104
ZS,202112,2021-12-01,Germany,Reference Markets Only,Europe,GER,DGQ,Electrolux Plants,First year warranty,Service call,925516113,2021-09-10,2021-11-26,2,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000HA3391322001,G,ZS-925516113-119-00051
HUC,202112,2021-12-01,Germany,Reference Markets Only,Europe,GER,DGQ,Electrolux Plants,First year warranty,Service call,933014282,2021-12-13,2021-12-27,0,1,Food Preservation,Freestanding Under Counter,Freestanding Under Counter Refrigerator,000U13409515001,G,HUC-933014282-125-10078
ZS,202112,2021-12-01,Switzerland,Reference Markets Only,Europe,SCH,SCH,Electrolux Plants,First year warranty,Service call,923587023,2021-11-02,2021-12-06,1,1,Food Preservation,Built-in Food Preservation,Built-in Upright Refrigerator,000386218191000,G,ZS-923587023-137-00087
HUC,202112,2021-12-01,Spain,Reference Markets Only,Europe,SPA,ES1,Electrolux Plants,First year warranty,Service call,933014667,2021-11-22,2021-11-26,0,1,Food Preservation,Freestanding Under Counter,Freestanding Under Counter Freezer,000005173070000,G,HUC-933014667-107-40007
ZS,202112,2021-12-01,Netherlands,Reference Markets Only,Europe,HOL,HOL,Electrolux Plants,First year warranty,Service call,923742042,2021-09-01,2021-11-16,2,1,Food Preservation,Built-in Food Preservation,Built-in Upright Refrigerator,000388050199000,G,ZS-923742042-112-00206
HUC,202112,2021-12-01,Sweden,Reference Markets Only,Europe,SWE,SR ,Electrolux Plants,First year warranty,Service call,933024084,2021-12-01,2021-12-15,0,1,Food Preservation,Built-in Food Preservation,Built-in Under Counter Refrigerator,389871999000,G,HUC-933024084-143-30304
ZS,202112,2021-12-01,Austria,Reference Markets Only,Europe,OSJ,OSJ,Electrolux Plants,First year warranty,Service call,925505073,2021-11-26,2021-12-03,1,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000387301274000,G,ZS-925505073-134-00078
HUC,202112,2021-12-01,Ireland,Reference Markets Only,Europe,EID,EID,Electrolux Plants,First year warranty,Service call,933026025,2021-08-10,2021-12-06,4,1,Food Preservation,Built-in Food Preservation,Built-in Under Counter Freezer,000381423405000,G,HUC-933026025-103-50024
ZS,202112,2021-12-01,United Kingdom,Reference Markets Only,Europe,ENG,GB1,Electrolux Plants,First year warranty,Service call,925505069,2021-06-09,2021-11-09,5,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000005080518000,G,ZS-925505069-117-00005
ZS,202112,2021-12-01,United Kingdom,Reference Markets Only,Europe,ENG,GB1,Electrolux Plants,First year warranty,Service call,925515024,2021-09-24,2021-11-11,2,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000005095782000,G,ZS-925515024-129-00041
HUC,202112,2021-12-01,Germany,Reference Markets Only,Europe,GER,DGQ,Electrolux Plants,First year warranty,Service call,933009727,2021-12-02,2021-12-13,0,1,Food Preservation,Freestanding Refrigerator,Freestanding Upright Refrigerator,000HA3401452001,G,HUC-933009727-137-20039
ZS,202112,2021-12-01,Italy,Reference Markets Only,Europe,ITA,IT1,Electrolux Plants,First year warranty,Service call,925503161,2021-10-29,2021-12-17,2,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000005279385000,G,ZS-925503161-112-00064
ZS,202112,2021-12-01,Austria,Reference Markets Only,Europe,OSJ,OSJ,Electrolux Plants,First year warranty,Service call,925503177,2021-11-29,2021-11-25,0,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000387596529000,G,ZS-925503177-114-00223
ZS,202112,2021-12-01,Romania,Reference Markets Only,Europe,ROB,ROC,Electrolux Plants,First year warranty,Service call,925501089,2021-11-02,2021-12-06,1,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000001364421000,G,ZS-925501089--
ZS,202112,2021-12-01,Switzerland,Reference Markets Only,Europe,SCH,SCH,Electrolux Plants,First year warranty,Service call,923587016,2021-10-05,2021-11-18,1,1,Food Preservation,Built-in Food Preservation,Built-in Upright Refrigerator,000386218775000,G,ZS-923587016-036-00001
ZS,202112,2021-12-01,Switzerland,Reference Markets Only,Europe,SCH,SCH,Electrolux Plants,First year warranty,Service call,925511041,2021-11-19,2021-11-19,0,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000386207093000,G,ZS-925511041-124-00286
HUC,202112,2021-12-01,Switzerland,Reference Markets Only,Europe,SCH,SCH,Electrolux Plants,First year warranty,Service call,933034818,2021-08-20,2021-12-23,4,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000386230135000,G,HUC-933034818-130-30019
HUY,202112,2021-12-01,Sweden,Reference Markets Only,Europe,SWE,SR ,Electrolux Plants,First year warranty,Service call,925052097,2021-12-03,2021-12-06,0,1,Food Preservation,Freestanding Refrigerator,Freestanding Upright Refrigerator,380221252000,G,HUY-925052097-912-50029
HUY,202112,2021-12-01,Sweden,Reference Markets Only,Europe,SWE,SR ,Electrolux Plants,First year warranty,Service call,925052415,2021-04-15,2021-11-09,7,1,Food Preservation,Freestanding Refrigerator,Freestanding Upright Refrigerator,380207385000,G,HUY-925052415-049-20128
HUY,202112,2021-12-01,Sweden,Reference Markets Only,Europe,SWE,SR ,Electrolux Plants,First year warranty,Service call,925054034,2021-08-12,2021-12-10,4,1,Food Preservation,Freestanding Bottom Freezer,Small Bottom Freezer,389869008000,G,HUY-925054034-SAK-1
HUY,202112,2021-12-01,Sweden,Reference Markets Only,Europe,SWE,SR ,Electrolux Plants,First year warranty,Service call,925054583,2021-11-09,2021-11-18,0,1,Food Preservation,Freestanding Bottom Freezer,Small Bottom Freezer,389866050000,G,HUY-925054583-135-40045
ZS,202112,2021-12-01,Netherlands,Reference Markets Only,Europe,HOL,HOL,Electrolux Plants,First year warranty,Service call,925513026,2021-10-01,2021-11-03,1,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000388043973000,G,ZS-925513026-121-00002
ZS,202112,2021-12-01,Netherlands,Reference Markets Only,Europe,HOL,HOL,Electrolux Plants,First year warranty,Service call,923581064,2021-10-15,2021-11-02,1,1,Food Preservation,Built-in Food Preservation,Built-in Upright Refrigerator,000385021951000,G,ZS-923581064-128-00039
ZS,202112,2021-12-01,Denmark,Reference Markets Only,Europe,DKH,DKH,Electrolux Plants,First year warranty,Service call,925501111,2021-10-28,2021-12-08,2,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,385076251000,G,ZS-925501111-108-47
ZS,202112,2021-12-01,Finland,Reference Markets Only,Europe,FIX,FI1,Electrolux Plants,First year warranty,Service call,922782038,2021-12-17,2021-12-17,0,1,Food Preservation,Built-in Food Preservation,Built-in Upright Freezer,000005278588000,G,ZS-922782038-140-00162
HUC,202112,2021-12-01,Denmark,Reference Markets Only,Europe,DKH,DKH,Electrolux Plants,First year warranty,Service call,933009726,2021-04-27,2021-11-23,7,1,Food Preservation,Freestanding Refrigerator,Freestanding Upright Refrigerator,385073585000,G,HUC-933009726-108-40006
ZS,202112,2021-12-01,United Kingdom,Reference Markets Only,Europe,ENG,GB1,Electrolux Plants,First year warranty,Service call,922784049,2021-12-01,2021-12-09,0,1,Food Preservation,Built-in Food Preservation,Built-in Upright Freezer,000005232540000,G,ZS-922784049-138-00073
ZS,202112,2021-12-01,Germany,Reference Markets Only,Europe,GER,DGQ,Electrolux Plants,First year warranty,Service call,922691688,2021-06-15,2021-12-07,6,1,Food Preservation,Built-in Food Preservation,Built-in Under Counter Freezer,000T53397811001,G,ZS-922691688-117-00079
ZS,202112,2021-12-01,Germany,Reference Markets Only,Europe,GER,DGQ,Electrolux Plants,First year warranty,Service call,923587011,2021-03-24,2021-12-15,9,1,Food Preservation,Built-in Food Preservation,Built-in Upright Refrigerator,000TA3403145001,G,ZS-923587011-029-00072
ZS,202112,2021-12-01,Germany,Reference Markets Only,Europe,GER,DGQ,Electrolux Plants,First year warranty,Service call,925503170,2021-08-13,2021-12-07,4,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000FM3397807001,G,ZS-925503170-127-00078
ZS,202112,2021-12-01,Germany,Reference Markets Only,Europe,GER,DGQ,Electrolux Plants,First year warranty,Service call,925516103,2021-10-08,2021-12-02,2,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000TA3394987001,G,ZS-925516103-136-00005
ZS,202112,2021-12-01,Italy,Reference Markets Only,Europe,ITA,IT1,Electrolux Plants,First year warranty,Service call,925505074,2021-10-28,2021-12-09,2,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000005237901000,G,ZS-925505074-124-00040
ZS,202112,2021-12-01,Italy,Reference Markets Only,Europe,ITA,IT1,Electrolux Plants,First year warranty,Service call,925560024,2021-05-10,2021-12-01,7,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000005192366000,G,ZS-925560024-119-00027
ZS,202112,2021-12-01,Italy,Reference Markets Only,Europe,ITA,IT1,Electrolux Plants,First year warranty,Service call,925505071,2021-08-02,2021-12-15,4,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000005264957000,G,ZS-925505071-125-00030
ZS,202112,2021-12-01,Italy,Reference Markets Only,Europe,ITA,IT1,Electrolux Plants,First year warranty,Service call,925542793,2021-08-14,2021-12-15,4,1,Food Preservation,Built-in Food Preservation,Built-in Top Freezer,000005267088000,G,ZS-925542793-119-00014
ZS,202112,2021-12-01,Italy,Reference Markets Only,Europe,ITA,IT1,Electrolux Plants,First year warranty,Service call,925505074,2021-12-09,2021-12-21,0,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000005293522000,G,ZS-925505074-130-00267
ZS,202112,2021-12-01,Luxembourg,Reference Markets Only,Europe,LXD,LXD,Electrolux Plants,First year warranty,Service call,925501090,2021-07-01,2021-12-15,5,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000380491806000,G,ZS-925501090-108-00037
HUC,202112,2021-12-01,Poland,Reference Markets Only,Europe,PLM,PLM,Electrolux Plants,First year warranty,Service call,933025079,2021-08-26,2021-12-01,4,1,Food Preservation,Built-in Food Preservation,Built-in Under Counter Refrigerator,000008282921000,G,HUC-933025079-118-30003
ZS,202112,2021-12-01,Switzerland,Reference Markets Only,Europe,SCH,SCH,Electrolux Plants,First year warranty,Service call,925511041,2021-11-01,2021-12-13,1,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000386222955000,G,ZS-925511041-135-00165
ZS,202112,2021-12-01,Sweden,Reference Markets Only,Europe,SWE,SR ,Electrolux Plants,First year warranty,Service call,922784053,2021-10-11,2021-12-13,2,1,Food Preservation,Built-in Food Preservation,Built-in Upright Freezer,389868338000,G,ZS-922784053-135-67
HUY,202112,2021-12-01,Sweden,Reference Markets Only,Europe,SWE,SR ,Electrolux Plants,First year warranty,Service call,925054583,2021-10-06,2021-11-30,1,1,Food Preservation,Freestanding Bottom Freezer,Small Bottom Freezer,389870451000,G,HUY-925054583-135-40051
ZS,202112,2021-12-01,Netherlands,Reference Markets Only,Europe,HOL,HOL,Electrolux Plants,First year warranty,Service call,925501100,2021-11-11,2021-12-11,1,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000388062232000,G,ZS-925501100-138-00515
ZS,202112,2021-12-01,Finland,Reference Markets Only,Europe,FIX,FI1,Electrolux Plants,First year warranty,Service call,925561053,2021-07-09,2021-12-02,5,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000005204720000,G,ZS-925561053-122-00141
ZS,202112,2021-12-01,Germany,Reference Markets Only,Europe,GER,DGQ,Electrolux Plants,First year warranty,Service call,925513028,2021-10-29,2021-11-23,1,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000U23389257001,G,ZS-925513028-139-00035
ZS,202112,2021-12-01,Belgium,Reference Markets Only,Europe,BEN,BE1,Electrolux Plants,First year warranty,Service call,923586024,2021-07-01,2021-12-17,5,1,Food Preservation,Built-in Food Preservation,Built-in Upright Refrigerator,000005276443000,G,ZS-923586024-117-00064
ZS,202112,2021-12-01,Belgium,Reference Markets Only,Europe,BEN,BE1,Electrolux Plants,First year warranty,Service call,925500031,2021-08-12,2021-12-02,4,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000005201421000,G,ZS-925500031-117-00028
ZS,202112,2021-12-01,Austria,Reference Markets Only,Europe,OSJ,OSJ,Electrolux Plants,First year warranty,Service call,925505073,2021-10-28,2021-11-16,1,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000387298689000,G,ZS-925505073-134-00018
ZS,202112,2021-12-01,United Kingdom,Reference Markets Only,Europe,ENG,GB1,Electrolux Plants,First year warranty,Service call,925516105,2021-01-08,2021-12-10,11,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000005243216000,G,ZS-925516105-046-00065
ZS,202112,2021-12-01,United Kingdom,Reference Markets Only,Europe,ENG,GB1,Electrolux Plants,First year warranty,Service call,925501109,2021-12-09,2021-12-10,0,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000005241000000,G,ZS-925501109-119-00088
HUC,202112,2021-12-01,Germany,Reference Markets Only,Europe,GER,DGQ,Electrolux Plants,First year warranty,Service call,933033742,2021-09-20,2021-11-26,2,1,Food Preservation,Built-in Food Preservation,Built-in Under Counter Freezer,000DM3391309001,G,HUC-933033742-130-50027
ZS,202112,2021-12-01,Germany,Reference Markets Only,Europe,GER,DGQ,Electrolux Plants,First year warranty,Service call,925505014,2020-12-17,2021-11-30,11,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000BB3393317001,G,ZS-925505014-044-00114
ZS,202112,2021-12-01,Hungary,Reference Markets Only,Europe,HUL,HUM,Electrolux Plants,First year warranty,Service call,925561032,2021-09-16,2021-11-18,2,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000003019721000,G,ZS-925561032-134-00101
ZS,202112,2021-12-01,Italy,Reference Markets Only,Europe,ITA,IT1,Electrolux Plants,First year warranty,Service call,925501093,2021-06-04,2021-12-19,6,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000005282049000,G,ZS-925501093-112-00319
ZS,202112,2021-12-01,Italy,Reference Markets Only,Europe,ITA,IT1,Electrolux Plants,First year warranty,Service call,925632633,2021-11-24,2021-12-13,1,1,Food Preservation,Built-in Food Preservation,Built-in Top Freezer,000005254330000,G,ZS-925632633-136-00034
ZS,202112,2021-12-01,Switzerland,Reference Markets Only,Europe,SCH,SCH,Electrolux Plants,First year warranty,Service call,925511041,2021-05-08,2021-12-16,7,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000386225753000,G,ZS-925511041-115-00060
HUY,202112,2021-12-01,Sweden,Reference Markets Only,Europe,SWE,SR ,Electrolux Plants,First year warranty,Service call,925052631,2021-10-15,2021-11-24,1,1,Food Preservation,Freestanding Freezer,Freestanding Upright Freezer,389871264000,G,HUY-925052631-123-40100
ZS,202112,2021-12-01,Belgium,Reference Markets Only,Europe,BEN,BE1,Electrolux Plants,First year warranty,Service call,923581068,2021-10-25,2021-12-03,2,1,Food Preservation,Built-in Food Preservation,Built-in Upright Refrigerator,000005208373000,G,ZS-923581068-124-00017
ZS,202112,2021-12-01,Germany,Reference Markets Only,Europe,GER,DGQ,Electrolux Plants,First year warranty,Service call,925503183,2021-04-28,2021-12-22,8,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000FM3407317001,G,ZS-925503183-113-00075
ZS,202112,2021-12-01,Denmark,Reference Markets Only,Europe,DKH,DKH,Electrolux Plants,First year warranty,Service call,923586010,2021-11-15,2021-12-17,1,1,Food Preservation,Built-in Food Preservation,Built-in Upright Refrigerator,385077864000,G,ZS-923586010-721-208
ZS,202112,2021-12-01,Denmark,Reference Markets Only,Europe,DKH,DKH,Electrolux Plants,First year warranty,Service call,925505060,2021-05-15,2021-12-08,7,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,385076165000,G,ZS-925505060-123-218
ZS,202112,2021-12-01,Norway,Reference Markets Only,Europe,EHN,NO1,Electrolux Plants,First year warranty,Service call,925505060,2021-04-23,2021-12-16,8,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000005273516000,G,ZS-925505060-108-00310
