plant_key,period,period_as_date,market,reference_market,part_of_world,market_code,company_code,factory,warranty_category,service_type,pnc_sku,sell_out_date,failure_date,ttfi,qty_serv,product_line,product_group,product_subgroup,order_nr,warranty_key,product_unit_key
HUY,202303,2023-03-01,Sweden,Reference Markets Only,Europe,SWE,SR ,Electrolux Plants,First year warranty,Service call,925052616,2023-01-01,2023-03-07,2,1,Food Preservation,Freestanding Freezer,Freestanding Upright Freezer,409977685000,G,HUY-925052616-251-30043
ZS,202303,2023-03-01,Ireland,Reference Markets Only,Europe,EID,IE1,Electrolux Plants,First year warranty,Service call,925503222,2023-02-09,2023-03-01,1,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000007962871000,G,ZS-925503222-227-00122
ZS,202303,2023-03-01,United Kingdom,Reference Markets Only,Europe,ENG,GB1,Electrolux Plants,First year warranty,Service call,925503180,2022-09-26,2023-03-12,6,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000008110801000,G,ZS-925503180-212-00989
ZS,202303,2023-03-01,United Kingdom,Reference Markets Only,Europe,ENG,GB1,Electrolux Plants,First year warranty,Service call,925515024,2022-06-15,2023-03-08,9,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000007999383000,G,ZS-925515024-214-00533
ZS,202303,2023-03-01,Germany,Reference Markets Only,Europe,GER,DGQ,Electrolux Plants,First year warranty,Service call,925503181,2022-12-10,2023-02-08,2,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000DM3630993001,G,ZS-925503181-237-00082
HUC,202303,2023-03-01,Germany,Reference Markets Only,Europe,GER,DGQ,Electrolux Plants,First year warranty,Service call,933033548,2022-09-22,2023-02-28,5,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000101787723001,G,HUC-933033548-248-60019
ZS,202303,2023-03-01,Spain,Reference Markets Only,Europe,SPA,ES1,Electrolux Plants,First year warranty,Service call,923886050,2023-01-24,2023-03-23,2,1,Food Preservation,Built-in Food Preservation,Built-in Upright Refrigerator,000008202462000,G,ZS-923886050-103-01126
ZS,202303,2023-03-01,Italy,Reference Markets Only,Europe,ITA,IT1,Electrolux Plants,First year warranty,Service call,925505027,2022-06-26,2023-03-03,9,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000007976723000,G,ZS-925505027-042-00034
HUC,202303,2023-03-01,Germany,Reference Markets Only,Europe,GER,DGQ,Electrolux Plants,First year warranty,Service call,933025083,2022-08-22,2023-02-24,6,1,Food Preservation,Built-in Food Preservation,Built-in Under Counter Refrigerator,000TA3639729001,G,HUC-933025083-228-20084
ZS,202303,2023-03-01,Switzerland,Reference Markets Only,Europe,SCH,SCH,Electrolux Plants,First year warranty,Service call,925511028,2022-12-01,2023-03-09,3,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000406043066000,G,ZS-925511028-230-80011
HUY,202303,2023-03-01,Sweden,Reference Markets Only,Europe,SWE,SR ,Electrolux Plants,First year warranty,Service call,925052179,2023-03-20,2023-03-21,0,1,Food Preservation,Freestanding Refrigerator,Freestanding Upright Refrigerator,409981706000,G,HUY-925052179-304-20013
HUY,202303,2023-03-01,Sweden,Reference Markets Only,Europe,SWE,SR ,Electrolux Plants,First year warranty,Service call,925070441,2022-04-30,2023-02-23,10,1,Food Preservation,Freestanding Refrigerator,Freestanding Upright Refrigerator,409977258000,G,HUY-925070441-149-30038
ZS,202303,2023-03-01,Belgium,Reference Markets Only,Europe,BEN,BE1,Electrolux Plants,First year warranty,Service call,925503171,2023-03-03,2023-03-03,0,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000007977605000,G,ZS-925503171-111-11111
ZS,202303,2023-03-01,Belgium,Reference Markets Only,Europe,BEN,BE1,Electrolux Plants,First year warranty,Service call,925513025,2023-02-16,2023-03-08,1,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000007998855000,G,ZS-925513025-305-00039
ZS,202303,2023-03-01,United Kingdom,Reference Markets Only,Europe,ENG,GB1,Electrolux Plants,First year warranty,Service call,925504029,2022-10-01,2023-02-21,4,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000007921677000,G,ZS-925504029-221-00287
ZS,202303,2023-03-01,United Kingdom,Reference Markets Only,Europe,ENG,GB1,Electrolux Plants,First year warranty,Service call,925515023,2022-05-27,2023-03-07,10,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000007991235000,G,ZS-925515023-208-00040
