Warranty Category;First year warranty;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Global Product Hierarchy;7219;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Service Type;Service call;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Reference Market Global Options;Reference Markets Only;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Markets;Europe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Plants;Electrolux Plants;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Components;All;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Column Labels;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Qty Sold;;;;;;;;;;;;;;QTY Service Calls;;;;;;;;;;;;;;Total Qty Sold;Total QTY Service Calls;;;
;-1;Year 1;;;;;;;;;;;;;-1;Year 1;;;;;;;;;;;;;;;;;
Row Labels;;0;1;2;3;4;5;6;7;8;9;10;11;12;;0;1;2;3;4;5;6;7;8;9;10;11;12;;;;1306;#REF!
201812;17354;17354;17354;17354;17354;17354;17354;17354;17354;17354;17354;17354;17354;17354;3;106;94;63;43;28;23;29;22;31;26;28;25;9;17354;530;;;
201901;19793;19793;19793;19793;19793;19793;19793;19793;19793;19793;19793;19793;19793;19793;3;132;102;53;42;35;29;23;36;26;26;17;25;16;19793;565;;;
201902;15566;15566;15566;15566;15566;15566;15566;15566;15566;15566;15566;15566;15566;15566;7;106;67;47;83;24;23;28;21;27;20;27;20;9;15566;509;;;
201903;17334;17334;17334;17334;17334;17334;17334;17334;17334;17334;17334;17334;17334;17334;6;89;76;44;41;23;23;24;30;36;25;24;22;9;17334;472;;;
201904;17680;17680;17680;17680;17680;17680;17680;17680;17680;17680;17680;17680;17680;17680;7;83;62;39;30;20;13;24;22;32;21;18;13;17;17680;401;;;
201905;21264;21264;21264;21264;21264;21264;21264;21264;21264;21264;21264;21264;21264;21264;4;93;72;34;35;27;30;40;17;22;34;29;28;15;21264;480;;;
201906;21129;21129;21129;21129;21129;21129;21129;21129;21129;21129;21129;21129;21129;21129;3;114;82;26;28;19;36;23;23;24;28;28;34;18;21129;486;;;
201907;24430;24430;24430;24430;24430;24430;24430;24430;24430;24430;24430;24430;24430;24430;18;144;95;58;28;38;24;38;23;24;24;31;33;19;24430;597;;;
201908;21607;21607;21607;21607;21607;21607;21607;21607;21607;21607;21607;21607;21607;21607;16;188;137;79;33;40;41;31;23;42;31;42;41;20;21607;764;;;
201909;20284;20284;20284;20284;20284;20284;20284;20284;20284;20284;20284;20284;20284;20284;10;185;140;89;50;42;31;23;26;36;35;28;35;20;20284;750;;;
