period,qty_sold,pred_qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
202207,138438,93816,214,231,144,103,64,62,45,51,42,32,30,16,9
202208,138690,82476,253,219,115,87,57,69,51,43,47,33,29,44,0
202209,141884,84364,249,240,109,71,62,80,62,64,40,33,37,0,0
202210,133217,84310,234,183,101,89,84,65,55,43,32,30,0,0,0
202211,126618,80479,204,166,111,99,58,78,42,21,34,0,0,0,0
202212,93057,59995,161,123,122,63,60,43,39,18,0,0,0,0,0
202301,104212,71265,144,153,71,71,32,26,32,0,0,0,0,0,0
202302,108859,69345,162,147,93,42,55,28,0,0,0,0,0,0,0
202303,111627,75566,116,139,59,36,24,0,0,0,0,0,0,0,0
202304,87330,67695,111,66,53,38,0,0,0,0,0,0,0,0,0
202305,103151,73143,125,84,50,0,0,0,0,0,0,0,0,0,0
202306,112818,74072,153,90,0,0,0,0,0,0,0,0,0,0,0
202307,91578,65365,105,0,0,0,0,0,0,0,0,0,0,0,0
202308,93223,57284,0,0,0,0,0,0,0,0,0,0,0,0,0
